sampleDate	variant	LocationID	LocationName	sample_id	sample_date	value	week	year	kw
2021-12-05	B.1.617.2	ATTP_2-K1950736	Stadtgemeinde Ferlach	CoV_21284_S104996	2021-12-05	0.98544	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1610676R0	Reinhalteverband für das Gebiet St. Veit/Glan	CoV_21225_S104827	2021-12-05	0.99586	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-643	ARA AV Großraum Bruck an der Leitha - Neusiedl am See	CoV_21235_S105055	2021-12-05	0.9605	48	2021	48/2021
2021-12-06	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21307_S105048	2021-12-06	0.96873	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21310_S104989	2021-12-06	0.96689	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_7-7369303	Zirl	CoV_20569_S104975	2021-12-06	0.99246	49	2021	49/2021_1
2021-12-06	B.1.617.2	ATTP_6-M3751070R0	Stadtgemeinde Judenburg / Stadtwerke Judenburg AG ARA Judenburg 8/710	CoV_21283_S105045	2021-12-06	0.99295	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763	CoV_21297_S105040	2021-12-06	0.89102	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_21295_S104809	2021-12-06	0.94815	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3710856R0	AWV Feldbach-Mittleres Raabtal ARA Feldbach Raabau 4/435	CoV_21267_S105043	2021-12-06	0.96452	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3647058R0	WV Mürzverband, Gde. Kapfenberg ARA Kapfenberg Mürz IV 2/827	CoV_21264_S104818	2021-12-06	0.99697	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein	CoV_21282_S105049	2021-12-06	0.98583	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3489301R0	Stadtgemeinde Graz ARA Graz Gössendorf 1/316	CoV_21261_S104856	2021-12-06	0.99238	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704	CoV_21298_S105051	2021-12-06	0.98535	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3453257R0	AWV Leibnitz-Wagna-Kaindorf ARA Wagna Leibnitz 10/1088	CoV_21266_S105032	2021-12-06	0.98809	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3444791R0	AWV Laßnitz-Wildbach-Gamsbach ARA Frauental 3/1303	CoV_21292_S104995	2021-12-06	0.99629	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020	CoV_21291_S105046	2021-12-06	0.99533	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3400230R0	RHV Raum Hartberg ARA Hartberg 7/3721	CoV_21263_S104813	2021-12-06	0.99447	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3358117R0	AWV Leibnitzerfeld Süd ARA Strass 10/1414	CoV_21268_S105006	2021-12-06	0.98941	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700	CoV_21294_S104805	2021-12-06	0.99503	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3231297R0	Marktgemeinde Gnas ARA Gnas 4/1346	CoV_21296_S104830	2021-12-06	0.99333	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868	CoV_21299_S105047	2021-12-06	0.996	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3409760R0	RHV Leoben, Stadtgemeinde Leoben ARA Leoben 11/974	CoV_21265_S105036	2021-12-06	0.96078	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1950736	Stadtgemeinde Ferlach	CoV_21450_S105558	2021-12-07	0.98613	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1944050	Abwasserverband Wörthersee West	CoV_21421_S105544	2021-12-07	0.99048	49	2021	49/2021_1
2021-12-07	B.1.617.2	ATTP_2-K1931629	ARA Klagenfurt	CoV_21361_S105454	2021-12-07	0.98995	49	2021	49/2021_1
2021-12-07	B.1.617.2	ATTP_2-K1822227R0	Wasserverband Unteres Drautal	CoV_21368_S105453	2021-12-07	0.99538	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1949374	WV Millstätter See	CoV_21363_S105509	2021-12-07	0.99483	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1949430	Abwasserverband Karnische Region	CoV_21422_S105437	2021-12-07	0.99568	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1939137	WV Ossiacher See	CoV_21367_S105442	2021-12-07	0.99548	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1702940R0	"Reinhalteverband """"Mittleres Lavanttal"""""	CoV_21364_S105532	2021-12-07	0.98944	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1518811R0	WV Abwasserverband Völkermarkt-Jaunfeld (ARA Eberndorf)	CoV_21365_S105536	2021-12-07	0.97048	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1610676R0	Reinhalteverband für das Gebiet St. Veit/Glan	CoV_21366_S105555	2021-12-07	0.99565	49	2021	49/2021
2021-12-07	B.1.617.2	ATTP_2-K1939997	ARA Stadt Villach	CoV_21362_S105466	2021-12-07	0.99528	49	2021	49/2021
2021-12-08	B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_21275_S105044	2021-12-08	0.95065	49	2021	49/2021
2021-12-08	B.1.617.2	ATTP_3-3	ARA Melk	CoV_21388_S105527	2021-12-08	0.99285	49	2021	49/2021
2021-12-08	B.1.617.2	ATTP_3-108	ARA GAV Wieselburg	CoV_21387_S105522	2021-12-08	0.97307	49	2021	49/2021
2021-12-08	B.1.617.2	ATTP_3-52	ARA AV Anzbach-Laabental	CoV_21380_S105530	2021-12-08	0.99317	49	2021	49/2021
2021-12-08	B.1.617.2	ATTP_7-7369303	Zirl	CoV_20568_S105022	2021-12-08	0.99251	49	2021	49/2021_2
2021-12-09	B.1.617.2	ATTP_3-458	ARA Zwettl	CoV_21426_S105513	2021-12-09	0.99144	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-132	ARA AV Raum Korneuburg	CoV_21379_S105511	2021-12-09	0.98571	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-47	ARA AV An der Traisen	CoV_21369_S105465	2021-12-09	0.98575	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-430	ARA Tulln	CoV_21382_S105553	2021-12-09	0.99192	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-119	ARA GAV Raum Krems an der Donau	CoV_21372_S105529	2021-12-09	0.98587	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-10	ARA Hollabrunn	CoV_21383_S105444	2021-12-09	0.99549	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-150	ARA Stockerau	CoV_21423_S105449	2021-12-09	0.99008	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-757	ARA AV Lainsitz	CoV_21381_S105534	2021-12-09	0.9958	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-330	ARA GV Horn für Abwasserbeseitigung	CoV_21384_S105455	2021-12-09	0.99311	49	2021	49/2021
2021-12-09	B.1.617.2	ATTP_3-851	ARA GAV Langenlois - Schönberg am Kamp	CoV_21386_S105501	2021-12-09	0.99339	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40201001	Steyr und Umgebung	CoV_21390_S105552	2021-12-12	0.99086	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-403	ARA Mödling	CoV_21371_S105512	2021-12-12	0.97803	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_5-A1700419R154	ARA Wallersee-Süd-Seekirchen	CoV_21437_S105542	2021-12-12	0.99573	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_21417_S105470	2021-12-12	0.98469	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-41812001	Welser Heide	CoV_21389_S105548	2021-12-12	0.98279	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-41703001	Ager-West	CoV_21392_S105458	2021-12-12	0.99116	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-449	ARA AWV Wr. Neustadt-Süd	CoV_21370_S105507	2021-12-12	0.98977	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_6-M3223510R0	AWV Grazerfeld ARA Wildon 10/1876	CoV_21401_S105472	2021-12-12	0.98019	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-41422001	Schärding und Umgebung	CoV_21400_S105457	2021-12-12	0.99334	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-41307001	Mühltal	CoV_21427_S105517	2021-12-12	0.99472	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-41225001	Ried und Umgebung	CoV_21393_S105471	2021-12-12	0.99456	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-41116001	Perg und Umgebung	CoV_21428_S105540	2021-12-12	0.9948	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40922001	Oberes Kremstal	CoV_21397_S105547	2021-12-12	0.99103	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_7-7513103	Kufstein	CoV_21339_S105596	2021-12-12	0.9782	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_21414_S105549	2021-12-12	0.98818	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_7-7930111	EMREG_BE_Hauptsitz AIZ Strass	CoV_21340_S105607	2021-12-12	0.99301	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40832001	Trattnachtal	CoV_21391_S105445	2021-12-12	0.96054	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40831002	Aschachtal	CoV_21429_S105543	2021-12-12	0.95378	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_21394_S105502	2021-12-12	0.98669	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40601002	Freistadt und Umgebung	CoV_21398_S105551	2021-12-12	0.99362	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40509001	Eferding	CoV_21396_S105528	2021-12-12	0.98887	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40404001	Braunau	CoV_21395_S105521	2021-12-12	0.99563	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-643	ARA AV Großraum Bruck an der Leitha - Neusiedl am See	CoV_21376_S105456	2021-12-12	0.98822	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_7-7101301	Innsbruck	CoV_21338_S105600	2021-12-12	0.98047	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_5-A1700239R154	ARA Trumerseen	CoV_21449_S105474	2021-12-12	0.99431	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_4-40702001	Hallstättersee	CoV_21399_S105446	2021-12-12	0.97155	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-29	ARA Baden	CoV_21378_S105508	2021-12-12	0.92373	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Montafon	Montafon	CoV_21446_S105440	2021-12-12	0.99408	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Meiningen	Meiningen	CoV_21409_S105469	2021-12-12	0.98892	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Ludesch	Ludesch	CoV_21413_S105545	2021-12-12	0.99343	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_21411_S105523	2021-12-12	0.99108	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Hofsteig	EMREG_BE_Wasserverband Hofsteig	CoV_21408_S105460	2021-12-12	0.98995	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Dornbirn	Dornbirn	CoV_21410_S105504	2021-12-12	0.96416	49	2021	49/2021
2021-12-12	BA.1	ATTP_8-Bregenz	Bregenz	CoV_23263_S107892	2021-12-12	0.0712359203343719	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_8-Bregenz	Bregenz	CoV_21412_S105526	2021-12-12	0.926935132899675	49	2021	49/2021
2021-12-12	B.1.617.2	Channel_Obergurgl	Kanal Teilgebiet Obergurgl	CoV_21439_S105451	2021-12-12	0.99553	49	2021	49/2021
2021-12-12	BA.1	ATTP_8-Bregenz	Bregenz	CoV_21412_S105526	2021-12-12	0.0730552044803636	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_1-00000010	Kläranlage Eisenstadt	CoV_21358_S105535	2021-12-12	0.9901	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_21359_S105556	2021-12-12	0.99516	49	2021	49/2021
2021-12-12	B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_21374_S105554	2021-12-12	0.98167	49	2021	49/2021
