variant	LocationID	LocationName	sample_id	sample_date	value
BA.2	ATTP_6-M3646738R0	WV Mürzverband ARA St. Marein/ Mürz III 2/669		2022-01-25	0.0
B.1.617.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868	CoV_21299_S105047	2021-12-06	0.996
BA.1	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868		2021-12-06	0.0
BA.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868		2021-12-06	0.0
B.1.617.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868	CoV_21517_S105618	2021-12-20	0.99542
BA.1	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868		2021-12-20	0.0
BA.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868		2021-12-20	0.0
B.1.617.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868		2022-01-18	0.0
BA.1	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868	CoV_22762_S107043	2022-01-18	0.96453
BA.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868		2022-01-18	0.0
B.1.617.2	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704	CoV_21298_S105051	2021-12-06	0.98535
BA.1	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704		2021-12-06	0.0
BA.2	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704		2021-12-06	0.0
B.1.617.2	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704		2022-01-18	0.0
BA.1	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704	CoV_22761_S107128	2022-01-18	0.98258
BA.2	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704		2022-01-18	0.0
B.1.617.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763	CoV_21297_S105040	2021-12-06	0.89102
BA.1	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763		2021-12-06	0.0
BA.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763		2021-12-06	0.0
B.1.617.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763	CoV_21515_S105580	2021-12-20	0.90542
BA.1	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763		2021-12-20	0.0
BA.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763		2021-12-20	0.0
B.1.617.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763	CoV_22760_S107116	2022-01-18	0.216059390732998
BA.1	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763	CoV_22760_S107116	2022-01-18	0.78393207611571
BA.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763		2022-01-18	0.0
B.1.617.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_21295_S104809	2021-12-06	0.94815
BA.1	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718		2021-12-06	0.0
BA.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718		2021-12-06	0.0
B.1.617.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_21513_S105715	2021-12-20	0.99176
BA.1	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718		2021-12-20	0.0
BA.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718		2021-12-20	0.0
B.1.617.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_22758_S107092	2022-01-18	0.0812461411161024
BA.1	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_22758_S107092	2022-01-18	0.843730818744263
BA.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_22758_S107092	2022-01-18	0.075013987039582
B.1.617.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700	CoV_21294_S104805	2021-12-06	0.99503
BA.1	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700		2021-12-06	0.0
BA.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700		2021-12-06	0.0
B.1.617.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700	CoV_21512_S105718	2021-12-20	0.99455
BA.1	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700		2021-12-20	0.0
BA.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700		2021-12-20	0.0
B.1.617.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700		2022-01-18	0.0
BA.1	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700	CoV_22757_S107080	2022-01-18	0.72009
BA.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700	CoV_22757_S107080	2022-01-18	0.23801
B.1.617.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020	CoV_21291_S105046	2021-12-06	0.99533
