sampleDate	variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value	week	year	kw
2020-12-28	B.1.258	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_3065_S75335	2020-12-28	0.061305	53	2020	53/2020
2020-12-28	B.1.258	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_2219_S74690	2020-12-28	0.061486	53	2020	53/2020
2020-12-28	B.1.258	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14757_S95701	2020-12-28	0.779364697967226	53	2020	53/2020
2020-12-28	B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3274_S76375	2020-12-28	0.163468983300066	53	2020	53/2020
2020-12-28	B.1.177	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_2219_S74690	2020-12-28	0.12941	53	2020	53/2020
2020-12-28	B.1.177	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_3065_S75335	2020-12-28	0.12929	53	2020	53/2020
2020-12-28	B.1.258	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3274_S76375	2020-12-28	0.57565403930984	53	2020	53/2020
2020-12-28	B.1.160	ATTP_3-29	ARA Baden	CoV_14756_S95704	2020-12-28	0.81024	53	2020	53/2020
2020-12-28	B.1.160	ATTP_3-1022	ARA Guntramsdorf	CoV_3276_S76325	2020-12-28	0.739684134486691	53	2020	53/2020
2020-12-28	B.1.258	ATTP_3-1022	ARA Guntramsdorf	CoV_3276_S76325	2020-12-28	0.189614647007271	53	2020	53/2020
2020-12-28	B.1.1.7	ATTP_3-1022	ARA Guntramsdorf	CoV_3276_S76325	2020-12-28	0.0706920512923938	53	2020	53/2020
2020-12-28	B.1.1.7	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_2219_S74690	2020-12-28	0.03888	53	2020	53/2020
2020-12-28	B.1.160	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_2219_S74690	2020-12-28	0.76825	53	2020	53/2020
2020-12-28	B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14757_S95701	2020-12-28	0.220625690806862	53	2020	53/2020
2020-12-28	B.1.1.7	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_3065_S75335	2020-12-28	0.038911	53	2020	53/2020
2020-12-29	B.1.160	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3173_S75948	2020-12-29	0.89089	53	2020	53/2020
2020-12-31	B.1.160	ATTP_7-7101301	Innsbruck	CoV_19963_S103495	2020-12-31	0.521395348837209	53	2020	53/2020
2020-12-31	B.1.258	ATTP_2-K1931629	ARA Klagenfurt	CoV_3057_S75375	2020-12-31	0.74684	53	2020	53/2020
2020-12-31	B.1.177	ATTP_7-7101301	Innsbruck	CoV_19963_S103495	2020-12-31	0.478598006644518	53	2020	53/2020
2020-12-31	B.1.160	ATTP_2-K1931629	ARA Klagenfurt	CoV_3057_S75375	2020-12-31	0.1001	53	2020	53/2020
2020-12-31	B.1.177	ATTP_2-K1931629	ARA Klagenfurt	CoV_3057_S75375	2020-12-31	0.062938	53	2020	53/2020
2021-01-02	B.1.221	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2234_S74678	2021-01-02	0.02974	53	2020	53/2020
2021-01-02	B.1.258	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2234_S74678	2021-01-02	0.10681	53	2020	53/2020
2021-01-02	B.1.177	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2234_S74678	2021-01-02	0.11099	53	2020	53/2020
2021-01-02	B.1.160	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_2234_S74678	2021-01-02	0.10289	53	2020	53/2020
2021-01-02	B.1.258	ATTP_8-Dornbirn	Dornbirn	CoV_3053_S75360	2021-01-02	0.043899	53	2020	53/2020
2021-01-02	B.1.177	ATTP_8-Dornbirn	Dornbirn	CoV_3053_S75360	2021-01-02	0.18055	53	2020	53/2020
2021-01-02	B.1.160	ATTP_8-Dornbirn	Dornbirn	CoV_3053_S75360	2021-01-02	0.21221	53	2020	53/2020
2021-01-03	B.1.8	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.053963037147637	53	2020	53/2020
2021-01-03	B.1.177	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.0783951208955829	53	2020	53/2020
2021-01-03	B.1.221	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.0741233353326963	53	2020	53/2020
2021-01-03	B.1.258	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.200298619846658	53	2020	53/2020
2021-01-03	C.35	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.0352642172988046	53	2020	53/2020
2021-01-03	B.1.160	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_2222_S74693	2021-01-03	0.0881975989857597	53	2020	53/2020
2021-01-03	B.1.8	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2228_S74684	2021-01-03	0.045673	53	2020	53/2020
2021-01-03	B.1.258	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2228_S74684	2021-01-03	0.12903	53	2020	53/2020
2021-01-03	B.1.177	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2228_S74684	2021-01-03	0.22605	53	2020	53/2020
2021-01-03	B.1.1.7	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2228_S74684	2021-01-03	0.033387	53	2020	53/2020
